size;name;lsa_min_sum;divider_min_sum;bucket_min_sum;direct_min_sum
10;matrix_1;3.69;6.78;3.69;4.15
10;matrix_2;3.71;7.05;4.29;4.75
10;matrix_3;3.37;5.24;3.77;4.17
10;matrix_4;3.52;5.7;5.87;4.98
10;matrix_5;2.9;5.31;3.49;2.9
10;matrix_6;4.85;7.16;5.1;5.65
10;matrix_7;3.24;6.01;3.24;4.12
10;matrix_8;5.16;7.6;5.41;6.84
10;matrix_9;4.89;9.28;5.28;5.3
10;matrix_10;3.05;6.78;4.04;3.05
10;matrix_11;4.09;9.31;4.31;5.07
10;matrix_12;4.16;8.8;5.23;6.54
10;matrix_13;3.36;4.97;3.66;4.23
10;matrix_14;3.0;6.99;3.0;5.16
10;matrix_15;3.06;7.95;3.06;3.68
10;matrix_16;2.76;6.3;2.89;3.51
10;matrix_17;4.37;7.01;5.05;5.32
10;matrix_18;4.0;7.23;4.89;5.59
10;matrix_19;2.93;7.76;2.93;4.17
10;matrix_20;4.57;7.3;5.6;5.4
10;matrix_21;4.21;8.41;4.21;5.46
10;matrix_22;3.43;8.33;3.48;4.08
10;matrix_23;3.23;5.61;3.23;3.23
10;matrix_24;5.36;9.48;5.36;6.16
10;matrix_25;4.34;8.81;4.34;4.34
10;matrix_26;4.02;10.15;4.02;5.45
10;matrix_27;3.69;6.25;3.69;3.91
10;matrix_28;2.71;9.8;3.22;2.93
10;matrix_29;4.18;7.86;4.18;4.82
10;matrix_30;3.61;5.67;4.7;5.28
10;matrix_31;3.64;9.21;3.64;4.89
10;matrix_32;3.89;8.17;3.89;4.49
10;matrix_33;3.25;8.58;3.7;3.63
10;matrix_34;3.3;6.21;3.3;3.57
10;matrix_35;3.4;8.0;3.83;4.3
10;matrix_36;3.79;7.84;4.09;5.32
10;matrix_37;3.79;7.53;4.42;5.12
10;matrix_38;4.13;7.51;4.13;4.82
10;matrix_39;2.87;7.32;2.87;5.23
10;matrix_40;3.64;7.03;3.64;4.48
10;matrix_41;3.28;7.44;3.42;4.39
10;matrix_42;3.86;7.45;3.86;4.54
10;matrix_43;3.33;4.05;3.35;4.34
10;matrix_44;3.91;9.75;3.91;5.44
10;matrix_45;4.55;8.55;4.87;5.35
10;matrix_46;4.11;7.08;4.42;4.39
10;matrix_47;3.77;7.6;3.92;4.45
10;matrix_48;3.36;6.59;4.12;4.5
10;matrix_49;3.24;8.81;3.24;3.61
10;matrix_50;2.24;4.68;2.24;3.4
10;matrix_51;2.78;8.08;2.78;3.79
10;matrix_52;3.41;5.0;3.89;3.41
10;matrix_53;3.36;8.5;3.36;4.9
10;matrix_54;4.07;7.44;4.07;5.46
