matrix_size;iteration;lsa_time;divider_time;bucket_time;direct_time;timestamp
10;1;0.0041;0.0277;0.0816;0.0323;20250929_154318
10;2;0.0041;0.0267;0.0779;0.0343;20250929_154318
10;3;0.0041;0.0267;0.0771;0.0336;20250929_154319
10;4;0.0044;0.0268;0.0772;0.036;20250929_154319
10;5;0.0041;0.0265;0.0751;0.0347;20250929_154319
10;6;0.0042;0.0266;0.0846;0.037;20250929_154319
10;7;0.0041;0.0268;0.0782;0.0361;20250929_154320
10;8;0.0041;0.0273;0.0753;0.0356;20250929_154320
10;9;0.0042;0.0266;0.0756;0.0363;20250929_154320
10;10;0.0042;0.0276;0.0764;0.0353;20250929_154320
15;1;0.0076;0.0293;0.0988;0.0443;20250929_154321
15;2;0.0088;0.0278;0.0983;0.0475;20250929_154321
15;3;0.007;0.0274;0.0994;0.0474;20250929_154321
15;4;0.0079;0.0275;0.1012;0.048;20250929_154322
15;5;0.0071;0.0281;0.1029;0.0509;20250929_154322
15;6;0.0071;0.0287;0.0981;0.048;20250929_154322
15;7;0.007;0.0276;0.0992;0.0472;20250929_154323
15;8;0.0072;0.0275;0.0967;0.0498;20250929_154323
15;9;0.0069;0.0281;0.0972;0.0486;20250929_154323
15;10;0.007;0.0275;0.0989;0.0471;20250929_154323
20;1;0.0124;0.0293;0.1211;0.058;20250929_154324
20;2;0.0113;0.0296;0.116;0.0559;20250929_154324
20;3;0.0114;0.03;0.1199;0.0558;20250929_154325
20;4;0.0115;0.0285;0.1173;0.0585;20250929_154325
20;5;0.0115;0.0303;0.1206;0.057;20250929_154325
20;6;0.0115;0.0292;0.1173;0.0588;20250929_154326
20;7;0.0114;0.0289;0.1173;0.0572;20250929_154326
20;8;0.0113;0.0285;0.1305;0.0616;20250929_154326
20;9;0.0116;0.0291;0.1211;0.0561;20250929_154327
20;10;0.0127;0.0286;0.1225;0.0571;20250929_154327
25;1;0.0185;0.0332;0.1456;0.0672;20250929_154327
25;2;0.0169;0.033;0.1487;0.0683;20250929_154328
25;3;0.0175;0.0329;0.1413;0.0677;20250929_154328
25;4;0.0168;0.0331;0.1406;0.07;20250929_154329
25;5;0.0168;0.033;0.14;0.0683;20250929_154329
25;6;0.0171;0.0333;0.14;0.0674;20250929_154329
25;7;0.0179;0.0342;0.1394;0.0667;20250929_154330
25;8;0.0168;0.036;0.1402;0.0689;20250929_154330
25;9;0.0169;0.033;0.1383;0.0693;20250929_154330
25;10;0.0191;0.0331;0.1442;0.0686;20250929_154331
30;1;0.0248;0.0328;0.1579;0.0806;20250929_154331
30;2;0.0233;0.0329;0.1595;0.0806;20250929_154332
30;3;0.0239;0.0348;0.1659;0.078;20250929_154332
