matrix_size;lsa_mean;lsa_std;lsa_min;lsa_max;divider_mean;divider_std;divider_min;divider_max;bucket_mean;bucket_std;bucket_min;bucket_max;direct_mean;direct_std;direct_min;direct_max
10;0.0042;0.0001;0.0041;0.0044;0.0269;0.0004;0.0265;0.0277;0.0779;0.003;0.0751;0.0846;0.0351;0.0014;0.0323;0.037
15;0.0074;0.0006;0.0069;0.0088;0.028;0.0006;0.0274;0.0293;0.0991;0.0018;0.0967;0.1029;0.0479;0.0018;0.0443;0.0509
20;0.0117;0.0005;0.0113;0.0127;0.0292;0.0006;0.0285;0.0303;0.1204;0.0042;0.116;0.1305;0.0576;0.0017;0.0558;0.0616
25;0.0174;0.0008;0.0168;0.0191;0.0335;0.001;0.0329;0.036;0.1418;0.0033;0.1383;0.1487;0.0682;0.001;0.0667;0.07
30;0.0236;0.0006;0.0231;0.0248;0.0336;0.0007;0.0328;0.0348;0.1614;0.0022;0.1579;0.1659;0.0798;0.0012;0.078;0.0821
35;0.0321;0.0009;0.0315;0.0343;0.0356;0.0006;0.0349;0.0368;0.1795;0.005;0.1756;0.1929;0.0923;0.0023;0.0894;0.0959
40;0.0409;0.0003;0.0403;0.0412;0.0376;0.0004;0.0372;0.0385;0.2057;0.0103;0.199;0.2287;0.1035;0.0027;0.1001;0.1095
45;0.0514;0.0006;0.0507;0.0522;0.0435;0.0007;0.0427;0.045;0.2257;0.0027;0.2203;0.2306;0.1169;0.004;0.1133;0.1244
50;0.0626;0.0006;0.0616;0.0635;0.0451;0.0009;0.044;0.0463;0.2467;0.0034;0.2417;0.252;0.1299;0.0026;0.1263;0.1349
55;0.0764;0.0009;0.0755;0.0783;0.0489;0.0009;0.0478;0.0508;0.2693;0.0057;0.2619;0.2823;0.1397;0.003;0.1349;0.144
60;0.0902;0.0008;0.0889;0.0919;0.0515;0.0012;0.0501;0.0538;0.3041;0.0144;0.2889;0.3362;0.1543;0.0029;0.1498;0.1588
65;0.1055;0.0006;0.1046;0.1063;0.0598;0.0009;0.0587;0.0614;0.3237;0.0052;0.3172;0.3331;0.1646;0.0043;0.1595;0.1721
70;0.1244;0.0011;0.1234;0.1268;0.0646;0.0019;0.0616;0.0674;0.3508;0.0061;0.3407;0.3606;0.1778;0.0024;0.1744;0.1829
75;0.1428;0.0008;0.1414;0.1441;0.0697;0.0018;0.0664;0.0723;0.3813;0.0205;0.3712;0.4385;0.1922;0.0055;0.1858;0.2055
80;0.1635;0.0018;0.1614;0.1683;0.0731;0.0011;0.0707;0.0746;0.4204;0.0093;0.4105;0.4433;0.2038;0.0026;0.1986;0.208
85;0.1836;0.0035;0.1812;0.1932;0.0824;0.0033;0.079;0.0911;0.4382;0.0091;0.4291;0.4604;0.2194;0.0028;0.2152;0.2253
90;0.2064;0.0014;0.2041;0.2085;0.083;0.0012;0.0818;0.0853;0.4738;0.0038;0.468;0.4795;0.2337;0.005;0.2288;0.2465
95;0.2322;0.0009;0.2307;0.2342;0.0877;0.001;0.0862;0.0891;0.5073;0.0028;0.5032;0.5126;0.2445;0.003;0.2415;0.2514
100;0.2592;0.0016;0.2564;0.2613;0.0931;0.0012;0.0911;0.0947;0.5381;0.005;0.5302;0.5459;0.26;0.0058;0.2541;0.2748
105;0.2888;0.0043;0.286;0.2986;0.1031;0.0011;0.1016;0.105;0.5773;0.0054;0.5703;0.5876;0.2749;0.0016;0.2728;0.277
110;0.3164;0.0011;0.315;0.3182;0.1085;0.0012;0.1068;0.1109;0.6019;0.0034;0.5981;0.6083;0.2882;0.0027;0.2845;0.2914
115;0.348;0.0044;0.3452;0.3603;0.115;0.0015;0.1135;0.1186;0.6598;0.0171;0.6489;0.7068;0.3054;0.0084;0.2985;0.3281
120;0.3758;0.002;0.3733;0.379;0.1216;0.0014;0.1201;0.1239;0.6887;0.0135;0.6782;0.7239;0.3187;0.0031;0.3128;0.324
125;0.4126;0.0019;0.4102;0.4159;0.1325;0.001;0.1303;0.1337;0.7205;0.0038;0.7167;0.7282;0.3343;0.0025;0.3314;0.3388
130;0.4502;0.0083;0.4442;0.4674;0.1395;0.0013;0.1373;0.1418;0.799;0.0043;0.7928;0.8043;0.35;0.0015;0.3483;0.3524
135;0.4815;0.0014;0.48;0.4841;0.15;0.0021;0.1476;0.1548;0.8312;0.0035;0.8233;0.8357;0.3637;0.0033;0.3581;0.3692
140;0.5241;0.0053;0.5198;0.5383;0.1573;0.0019;0.1549;0.1605;0.8775;0.0041;0.8717;0.8832;0.3856;0.0135;0.377;0.4233
145;0.562;0.0037;0.5591;0.5717;0.1701;0.0047;0.1673;0.1829;0.9285;0.0042;0.9205;0.9351;0.397;0.004;0.3918;0.4059
150;0.6073;0.0063;0.601;0.6238;0.1758;0.0008;0.1748;0.1776;0.9763;0.0102;0.9626;0.999;0.4155;0.0024;0.413;0.4203
155;0.6442;0.0022;0.6403;0.6466;0.1861;0.0015;0.1836;0.1888;1.0043;0.0037;1.0002;1.0131;0.4317;0.0022;0.4282;0.4349
160;0.6912;0.0031;0.6869;0.6983;0.1958;0.0013;0.1939;0.1978;1.0458;0.005;1.0381;1.0556;0.4527;0.0031;0.4496;0.4597
165;0.7387;0.0021;0.7367;0.7434;0.2091;0.0016;0.2071;0.2116;1.0879;0.0091;1.076;1.1053;0.4633;0.0028;0.4596;0.468
170;0.7866;0.0019;0.7835;0.7893;0.2173;0.0014;0.2152;0.2198;1.1507;0.0075;1.1383;1.16;0.4807;0.004;0.4746;0.4866
175;0.8285;0.0021;0.8255;0.8321;0.2279;0.0012;0.2262;0.2305;1.1745;0.0058;1.1673;1.184;0.5074;0.0031;0.502;0.5115
180;0.8956;0.0162;0.8865;0.9396;0.2397;0.0017;0.2372;0.242;1.2428;0.0103;1.2305;1.2621;0.5277;0.0029;0.5249;0.533
185;0.9352;0.0019;0.9329;0.9396;0.256;0.0015;0.2537;0.258;1.2832;0.0123;1.2696;1.3108;0.5473;0.003;0.5406;0.5509
190;0.9993;0.0078;0.9926;1.0206;0.2633;0.0015;0.2605;0.2657;1.3117;0.0073;1.3027;1.3288;0.5595;0.0052;0.5537;0.5685
195;1.0652;0.0452;1.0464;1.1935;0.2802;0.0111;0.274;0.3114;1.3959;0.0354;1.3731;1.4865;0.5953;0.0552;0.575;0.7523
200;1.1133;0.0044;1.1043;1.1199;0.2888;0.0019;0.2857;0.2923;1.428;0.0098;1.4123;1.4469;0.6047;0.0044;0.5987;0.6126
205;1.1703;0.0049;1.1635;1.1816;0.3074;0.0044;0.304;0.3193;1.4784;0.014;1.4619;1.5057;0.6318;0.0189;0.6147;0.6819
210;1.2437;0.0097;1.2313;1.2618;0.3161;0.0017;0.3139;0.319;1.5354;0.0179;1.5171;1.5767;0.6462;0.0051;0.6412;0.6558
215;1.3106;0.0233;1.2955;1.3701;0.3344;0.0085;0.3284;0.3539;1.5775;0.0697;1.5406;1.7662;0.6718;0.0186;0.6599;0.7216
