run;dataset;num_matrices;lsa_time;divider_time;bucket_time;direct_time
1;MUTAG;17578;0.154;0.5634;1.6575;0.9037
1;OHSU;3081;0.7387;0.2548;0.6767;0.7187
1;Proteins;10000;0.5274;0.392;1.0491;0.9963
2;MUTAG;17578;0.1464;0.5471;1.6434;0.8774
2;OHSU;3081;0.759;0.2558;0.6703;0.7192
2;Proteins;10000;0.5261;0.3911;1.0501;0.9889
3;MUTAG;17578;0.1451;0.5472;1.6463;0.8692
3;OHSU;3081;0.7357;0.2609;0.6611;0.7257
3;Proteins;10000;0.5269;0.3942;1.0485;0.9946
4;MUTAG;17578;0.1494;0.5479;1.6473;0.8682
4;OHSU;3081;0.7307;0.2562;0.6722;0.7208
4;Proteins;10000;0.5246;0.4112;1.0598;1.0002
5;MUTAG;17578;0.1472;0.545;1.6529;0.8649
5;OHSU;3081;0.7339;0.2532;0.6655;0.7243
5;Proteins;10000;0.526;0.3995;1.0389;0.9916
6;MUTAG;17578;0.1518;0.5511;1.6475;0.8639
6;OHSU;3081;0.7715;0.2515;0.6689;0.7179
6;Proteins;10000;0.5264;0.4097;1.0441;0.9942
7;MUTAG;17578;0.1472;0.546;1.659;0.8678
7;OHSU;3081;0.7383;0.2528;0.6652;0.7223
7;Proteins;10000;0.525;0.3916;1.0502;0.991
8;MUTAG;17578;0.1479;0.5557;1.655;0.8621
8;OHSU;3081;0.7319;0.2552;0.6709;0.7241
8;Proteins;10000;0.524;0.3937;1.0872;0.9915
9;MUTAG;17578;0.1485;0.5447;1.6606;0.8824
9;OHSU;3081;0.7338;0.256;0.6768;0.7206
9;Proteins;10000;0.529;0.3943;1.0403;0.9869
10;MUTAG;17578;0.1481;0.5428;1.644;0.868
10;OHSU;3081;0.732;0.2552;0.6759;0.7195
10;Proteins;10000;0.5275;0.3927;1.0418;0.9861
